JFreeChart;commons-fileupload;commons-dbcp;commons-cli;mybatis-3;commons-text;commons-lang;commons-collections;commons-io;easymock:core;crawljax:core;vraptor:core;jongo;la4j;ormlite-core;jesque;plexus-utils;gson:gson;jackson-core;java-apns;joda-beans;guice:core;msg-pack-java v0.6;javapoet;commons-csv;commons-codec;commons-jxpath;Commons-math:legacy;Commons-compress v1.22;jsoup
65;67;75;80;75;56;40;63;61;72;76;85;69;80;55;52;74;64;79;78;45;89;80;58;38;70;97;80;73;35
233;267;333;400;300;267;333;267;233;300;300;433;433;400;267;367;333;333;233;333;267;200;200;333;200;300;300;200;233;433
